,UTMX,UTMY
208,289587.69664757984,5130298.604602013
209,289587.1092413233,5130239.178066821
210,289587.56462781393,5130266.160456277
211,289589.21541173727,5130293.76064565
212,289587.0954726987,5130275.129812217
213,289586.79438970424,5130279.571386229
214,289586.3550973787,5130243.161466852
215,289586.63278245635,5130283.93867909
216,289586.3591363048,5130247.077251117
217,289586.32018026325,5130289.189240752
218,289585.9658495179,5130252.238170149
219,289585.8628131765,5130261.436832506
220,289585.9711062758,5130298.241963197
221,289585.391287176,5130270.047046285
222,289585.1513127774,5130238.712228294
223,289584.97729562945,5130288.854011226
224,289585.0917475242,5130275.0207305
225,289584.82484479225,5130279.451765561
226,289584.6593200775,5130293.448251061
227,289584.5095121944,5130242.655687835
228,289585.3673710329,5130255.97020937
229,289584.4097390592,5130284.038967552
230,289584.7836377052,5130266.365962605
231,289583.97700715455,5130247.227746965
232,289583.91616738855,5130252.314912764
233,289583.44866007095,5130261.97922256
234,289583.2464975675,5130270.489934898
235,289583.1374085051,5130274.872218398
236,289583.0758642752,5130279.3263393985
237,289583.00297008,5130238.872579715
238,289583.65833685553,5130297.551147474
239,289582.71771565964,5130283.96484348
240,289582.1215578568,5130246.569065695
241,289582.38336253766,5130288.535768231
242,289582.46110943623,5130243.211667761
243,289582.3950906463,5130247.56981596
244,289582.44791167026,5130293.301328384
245,289582.58003508137,5130256.355447908
246,289581.9760884993,5130252.347702055
247,289581.75617269694,5130261.489511073
248,289581.4715587719,5130265.936822563
249,289581.51455535914,5130270.149916044
250,289580.6412307049,5130279.72474191
251,289580.8764730497,5130283.942222303
252,289580.65373129456,5130288.956655892
253,289580.94055334944,5130238.332165309
254,289580.4567275719,5130242.736767162
255,289580.1841502621,5130256.444012028
256,289580.4292235215,5130293.22723913
257,289580.18153888744,5130247.172140552
258,289580.15416925197,5130252.168620838
259,289579.87773439527,5130265.926536235
260,289579.73512256995,5130261.133525091
261,289579.23961240915,5130274.675221934
262,289578.974795538,5130279.322441541
263,289579.0393689624,5130270.113305007
264,289578.852218017,5130283.756705653
265,289578.1398868364,5130237.843150157
266,289578.50175291585,5130242.88003084
267,289578.40562193975,5130238.9651307585
268,289579.0273072456,5130297.226910936
269,289578.06371324044,5130247.203718543
270,289578.3042779311,5130292.97953165
271,289578.14442941366,5130252.085559386
272,289577.96260648227,5130256.5470178155
273,289577.8062721868,5130265.520809249
274,289577.3543626707,5130270.387243271
275,289577.0888907291,5130274.657517207
276,289576.95684829087,5130284.348190577
277,289577.0382835031,5130238.939084584
278,289576.86423882435,5130278.998843242
279,289577.5544806095,5130288.620265268
280,289576.70987459854,5130297.885517917
281,289576.40968878334,5130247.292846208
282,289576.072768012,5130260.682691779
283,289576.31772386073,5130292.95176731
284,289576.3046265011,5130242.744326447
285,289575.87554161396,5130256.278792739
286,289576.0969513655,5130265.149335477
287,289575.92409739265,5130251.551476772
288,289575.6442790851,5130270.52971669
289,289575.63011855184,5130237.78576566
290,289575.1101189601,5130274.626387785
291,289575.09795521747,5130279.005184751
292,289574.6469582654,5130283.618967313
293,289574.4311324021,5130293.321671088
294,289574.60454994603,5130242.567146387
295,289574.5732438151,5130288.018557982
296,289574.38427948253,5130297.930623028
297,289574.4216039211,5130247.413010991
298,289574.18766483443,5130252.087985223
299,289573.68531246716,5130269.772227076
300,289573.9984195261,5130256.6410554545
301,289574.23925750016,5130264.967698872
302,289573.18321394984,5130274.650819434
303,289573.212000003,5130279.198048546
304,289572.7314028157,5130283.840432673
305,289572.75310718524,5130288.267606311
306,289572.4389588154,5130292.874414995
307,289572.15149019234,5130297.325986073
308,289613.1850293199,5130248.585496945
309,289616.9993237763,5130276.444086592
